Dataset,Model,Measure,Drift Strength,Mean_Value,Std_Value
yelp_review_full,bert-base-uncased,bhattacharyya,0.25,2.536766432241268,0.2579599308899759
yelp_review_full,bert-base-uncased,bhattacharyya,0.5,5.504130096570878,4.947546748456766
yelp_review_full,bert-base-uncased,bhattacharyya,0.75,2.930681031810266,0.9275300410491121
yelp_review_full,bert-base-uncased,bhattacharyya,1.0,3.226303452191818,0.6608070241739245
yelp_review_full,bert-base-uncased,hellinger,0.0,0.9309824463814205,0.04007039880188654
yelp_review_full,bert-base-uncased,hellinger,0.25,0.957448496347788,0.019108711545704933
yelp_review_full,bert-base-uncased,hellinger,0.5,0.9708833885447917,0.010255108039795128
yelp_review_full,bert-base-uncased,hellinger,0.75,0.9641417614235864,0.02887423717806928
yelp_review_full,bert-base-uncased,hellinger,1.0,0.9712444311190728,0.014620920602296692
yelp_review_full,bert-base-uncased,js,0.0,0.6018602157596104,0.05054028058899623
yelp_review_full,bert-base-uncased,js,0.25,0.6310418885939879,0.03424691547812477
yelp_review_full,bert-base-uncased,js,0.5,0.6650898676872548,0.024211722999873096
yelp_review_full,bert-base-uncased,js,0.75,0.6487845237485939,0.044640754077997565
yelp_review_full,bert-base-uncased,js,1.0,0.651084083122146,0.024832774625329478
yelp_review_full,bert-base-uncased,kl,0.0,20.598053859013863,1.7941953277277591
yelp_review_full,bert-base-uncased,kl,0.25,22.65737854994695,0.9995075409834576
yelp_review_full,bert-base-uncased,kl,0.5,21.85995148812154,1.737474572102516
yelp_review_full,bert-base-uncased,kl,0.75,22.81536218771909,0.4758659017160648
yelp_review_full,bert-base-uncased,kl,1.0,22.177096890085995,0.5617095868873445
yelp_review_full,bert-base-uncased,mmd,0.0,0.12033904095490773,0.006890159951722335
yelp_review_full,bert-base-uncased,mmd,0.25,0.3911936283111572,0.03603478906779539
yelp_review_full,bert-base-uncased,mmd,0.5,0.5444268186887106,0.0553934034981394
yelp_review_full,bert-base-uncased,mmd,0.75,0.5684799353281657,0.04189197443292566
yelp_review_full,bert-base-uncased,mmd,1.0,0.5838393568992615,0.043482255491257976
yelp_review_full,bert-base-uncased,wasserstein,0.0,0.9466561401883761,0.17093085916017958
yelp_review_full,bert-base-uncased,wasserstein,0.25,2.483436450660229,0.7176031765710611
yelp_review_full,bert-base-uncased,wasserstein,0.5,3.51524499018987,0.7350271287093587
yelp_review_full,bert-base-uncased,wasserstein,0.75,3.5519061899185176,0.689087840418704
yelp_review_full,bert-base-uncased,wasserstein,1.0,3.1510555838545167,0.989256008823525
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.0,1.6892703029109732,0.5412730870972562
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.25,2.3979109338658655,1.3126826163019527
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.5,1.9367913743973684,0.4266835587232465
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.75,2.169748384812767,0.46403154357563586
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,1.0,2.340762648169325,0.5209682814181118
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.0,0.8923995920885636,0.05247863250124754
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.25,0.9300970934505526,0.02976478226735783
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.5,0.9482544049374176,0.027605604020056546
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.75,0.9546744619407531,0.03480039692908339
